connection_type,functions,matrix,model,screen
" HDMI, DisplayPort"," AMD FreeSync Premium, Flicker-Free"," *VA, відгук 4мс, 144Гц","Монітор Samsung C24RG50F 24 """, 1920x1080 (16:9)
" VGA, HDMI"," AMD FreeSync, Flicker-Free"," IPS, відгук 5мс, 75Гц","Монітор Samsung S24R350FHI 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, PBP, Flicker-Free"," *VA, відгук 4мс, 144Гц","Монітор Xiaomi Mi Surface Display 34 34 """, 3440x1440 (21:9)
" HDMI, DisplayPort"," AMD FreeSync Premium, HDR, Flicker-Free"," *VA, відгук 4мс, 144Гц","Монітор Samsung Odyssey G5 27 27 """, 2560x1440 (16:9)
" VGA, HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," IPS, відгук 4мс, 144Гц","Монітор Asus TUF Gaming VG249Q 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," IPS, відгук 1мс, 144Гц","Монітор MSI Optix G241 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," NVIDIA G-Sync Compatible, HDR, PBP, Flicker-Free"," QLED, відгук 1мс, 240Гц","Монітор Samsung Odyssey G7 27 27 """, 2560x1440 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, HDR, Flicker-Free"," IPS, відгук 5мс, 75Гц","Монітор LG 32QN600 32 """, 2560x1440 (16:9)
" VGA, HDMI"," AMD FreeSync, Flicker-Free"," *VA, відгук 1мс, 75Гц","Монітор MSI Optix G241VC 24 """, 1920x1080 (16:9)
" VGA, HDMI"," AMD FreeSync, Flicker-Free"," PLS, відгук 4мс, 60Гц","Монітор Samsung S24F350FHI 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," NVIDIA G-Sync Compatible, Flicker-Free"," *VA, відгук 4мс, 240Гц","Монітор Samsung C27RG50 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, HDR, PBP, Flicker-Free"," IPS, відгук 4мс, 60Гц","Монітор Samsung U28R550UQI 28 """, 3840x2160 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, HDR, Flicker-Free"," IPS, відгук 1мс, 144Гц","Монітор Acer Nitro VG242YPbmiipx 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync Premium Pro, NVIDIA G-Sync, HDR, Flicker-Free"," IPS, відгук 1мс, 165Гц","Монітор Dell S2721DGF 27 """, 2560x1440 (16:9)
" HDMI, DisplayPort"," NVIDIA G-Sync, Flicker-Free"," IPS, відгук 1мс, 360Гц","Монітор Dell Alienware AW2521H 25 """, 1920x1080 (16:9)
" DVI-D, HDMI"," AMD FreeSync, Flicker-Free"," *VA, відгук 6мс, 144Гц","Монітор 2E G2419B 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync Premium, HDR, Flicker-Free"," IPS, відгук 1мс, 144Гц","Монітор LG 24GN600 24 """, 1920x1080 (16:9)
