name,city,link
Accents and paradoxes of modern philology,Kharkiv,http://nbuv.gov.ua/j-tit/asspmp
Acta Hungarica,Ungvar,http://nbuv.gov.ua/j-tit/achun
Acta medica Leopoliensia,Львів,http://nbuv.gov.ua/j-tit/Lmch
Advanced education,Київ,http://nbuv.gov.ua/j-tit/novocv
Advanced space law,Kyiv,http://nbuv.gov.ua/j-tit/adspl
Agrarian bulletin of the Black sea littoral,Odessa,http://nbuv.gov.ua/j-tit/agbubls
Agricultural and resource economics: international scientific e-journal,"Харків, Вроцлав",http://nbuv.gov.ua/j-tit/areis
Agrology,Dnipro,http://nbuv.gov.ua/j-tit/algolog
Animal science and food technology,Київ,http://nbuv.gov.ua/j-tit/anscft
Annals of Mechnikov institute,Kharkov,http://nbuv.gov.ua/j-tit/ami
Ars Linguodidacticae,Київ,http://nbuv.gov.ua/j-tit/artlin
Art and Design,Київ,http://nbuv.gov.ua/j-tit/artges
Art of medicine,Івано-Франківськ,http://nbuv.gov.ua/j-tit/artmed
Artificial intelligence,Київ,http://nbuv.gov.ua/j-tit/II
Access to Justice in Eastern Europe,Kyiv,http://nbuv.gov.ua/j-tit/accjee
Advances in Astronomy and Space Physics,Kyiv,http://nbuv.gov.ua/j-tit/aiaasp
Advances in cyber-physical systems,Lviv,http://nbuv.gov.ua/j-tit/advcyphsys
Agricultural science and practice,Kyiv,http://nbuv.gov.ua/j-tit/asp
Algebra and discrete mathematics,Starobilsk,http://nbuv.gov.ua/j-tit/Adm
Applied aspects of information technology,Odessa,http://nbuv.gov.ua/j-tit/aait
Architectural studies,"Lviv",http://nbuv.gov.ua/j-tit/arcs
"Pain, anaesthesia & intensive care",Київ,http://nbuv.gov.ua/j-tit/bzit
Philosophy & cosmology,Кyiv,http://nbuv.gov.ua/j-tit/philcos
"Health, sport, rehabilitation",Kharkiv,http://nbuv.gov.ua/j-tit/hsr
Herald of advanced information technology,Odessa,http://nbuv.gov.ua/j-tit/hait
One health and nutritions problems of Ukraine,Kyiv,http://nbuv.gov.ua/j-tit/Pkh
Odessa astronomical publications,"Odessa",http://nbuv.gov.ua/j-tit/oap
Photobiology and photomedicine,Kharkiv,http://nbuv.gov.ua/j-tit/Ftf
Historical and cultural studies,Львів,http://nbuv.gov.ua/j-tit/hcs
"Humanitarian studios: pedagogics, psychology, philosophy ",Київ,http://nbuv.gov.ua/j-tit/hst
Plant introduction,Kyiv,http://nbuv.gov.ua/j-tit/IR
Machiner & Energetics,Київ,http://nbuv.gov.ua/j-tit/machener
Humanitarian vision,Львів,http://nbuv.gov.ua/j-tit/hv
Humanitarium,Переяслав-Хмельницький,http://nbuv.gov.ua/j-tit/gvpdpu
Lex Portus,Одеса,http://nbuv.gov.ua/j-tit/LP
Law of Ukraine,"Kyiv",http://nbuv.gov.ua/j-tit/luk
Geo & Bio,Київ,http://nbuv.gov.ua/j-tit/Vnnpm
Plant Varieties Studying and Protection,Вінниця,http://nbuv.gov.ua/j-tit/stopnsr
Management and entrepreneurship in Ukraine: the stages of formation and problems of development,Львів,http://nbuv.gov.ua/j-tit/meu
Humanities studies,"Запоріжжя",http://nbuv.gov.ua/j-tit/humst
"Journal for veterinary medicine, biotechnology and biosafety",Kharkiv,http://nbuv.gov.ua/j-tit/jvmbb
"Geodesy, cartography and aerial photography",Lviv,http://nbuv.gov.ua/j-tit/Geodez
Geodynamics,Lviv,http://nbuv.gov.ua/j-tit/geod
Information Technology and Security,Kyiv,http://nbuv.gov.ua/j-tit/inftech
Politology bulletin,Київ,http://nbuv.gov.ua/j-tit/Pv
Mechanism of Economic Regulation,Суми,http://nbuv.gov.ua/j-tit/Mre
Medical science of Ukraine,Київ,http://nbuv.gov.ua/j-tit/nvnmu
Journal of Chemistry and Technologies,Dnipro,http://nbuv.gov.ua/j-tit/vduch
Germanistik in der Ukraine,Kyjiw,http://nbuv.gov.ua/j-tit/germvu
Infusion & chemotherapy,Київ,http://nbuv.gov.ua/j-tit/infch
Innovative Marketing,Sumy,http://nbuv.gov.ua/j-tit/innmar
"Finane, accounting, banks",Вінниця,http://nbuv.gov.ua/j-tit/Fub
Fundamental and applied soil science,Dnipro,http://nbuv.gov.ua/j-tit/grunt
Problems of modern psychology,Kamianets-Podilskyi,http://nbuv.gov.ua/j-tit/Pspl
Medix. Anti-aging,Київ,http://nbuv.gov.ua/j-tit/Maa
Journal of engineering sciences,Sumy,http://nbuv.gov.ua/j-tit/jes
GISAP," Physics, mathematics and chemistry, London",http://nbuv.gov.ua/j-tit/phmch
Biological systems: theory and innovation,Київ,http://nbuv.gov.ua/j-tit/bsti
"Chemistry, technology and application of substances",Lviv,http://nbuv.gov.ua/j-tit/chtaps
East european journal of psycholinguistics,Lutsk,http://nbuv.gov.ua/j-tit/eejps
Insurance markets and companies,Sumy,http://nbuv.gov.ua/j-tit/insmarcom
International journal of antiibiotics and probiotics,Київ,http://nbuv.gov.ua/j-tit/intjourantibpr
Future human image,Kiev,http://nbuv.gov.ua/j-tit/fuhuim
"Financial markets, institutions and risks",Sumy,http://nbuv.gov.ua/j-tit/finmarinsr
Functional materials,"Kharkov",http://nbuv.gov.ua/j-tit/FM
Dental science and practice,Полтава,http://nbuv.gov.ua/j-tit/dscpr
Diagnostics and treatment of oral and maxillofacial pathology,Київ,http://nbuv.gov.ua/j-tit/dtrormp
Бахмутський шлях,Луганськ,http://nbuv.gov.ua/j-tit/bsh
Problems of tribology,Хмельницький,http://nbuv.gov.ua/j-tit/Ptl
MHGC Proceedings,Рим,http://nbuv.gov.ua/j-tit/MHGC
Mining of mineral deposits,Дніпро,http://nbuv.gov.ua/j-tit/rr
Journal of mechanical engineering,Київ,http://nbuv.gov.ua/j-tit/PMash
GISAP," Biology, veterinary medicine and agricultural sciences, London",http://nbuv.gov.ua/j-tit/gbvmas
Biosystems diversity,Dnipro,http://nbuv.gov.ua/j-tit/vdube
"Business, economics, sustainability, leadership and innovations",Київ,http://nbuv.gov.ua/j-tit/besli
"Cognition, communication, discourse","eries : ""Philology"", Харьков",http://nbuv.gov.ua/j-tit/kkd
Communications and communicative technologies,Дніпро,http://nbuv.gov.ua/j-tit/cctech
Eastern Ukrainian Medical Journal,Суми,http://nbuv.gov.ua/j-tit/eumj
Ecology and noospherology,"Kyiv, Dnipro",http://nbuv.gov.ua/j-tit/etn
International journal of education and science,Kharkiv,http://nbuv.gov.ua/j-tit/intjeds
International journal of medicine and medical research,Ternopil,http://nbuv.gov.ua/j-tit/ijmmr
Dictum factum,"Київ",http://nbuv.gov.ua/j-tit/dicf
Бджільництво України,Житомир,http://nbuv.gov.ua/j-tit/bdjukr
Proceedings of the International Geometry Center,Одеса,http://nbuv.gov.ua/j-tit/pmgc
Modern economics,Миколаїв,http://nbuv.gov.ua/j-tit/modecon
Journal of nano- and electronic physics,Sumy,http://nbuv.gov.ua/j-tit/jnef
GISAP," Culturology, sports and art history, London",http://nbuv.gov.ua/j-tit/gcsah
Banks & bank systems,Sumy,http://nbuv.gov.ua/j-tit/banks
Авіаційно-космічна техніка і технологія,Харків,http://nbuv.gov.ua/j-tit/aktit
Ядерна енергетика та довкілля,Київ,http://nbuv.gov.ua/j-tit/jaed
Ядерна та радіаційна безпека,Київ,http://nbuv.gov.ua/j-tit/ydpb
Ядерна фізика та енергетика,Київ,http://nbuv.gov.ua/j-tit/yadf
Computing,Ternopil,http://nbuv.gov.ua/j-tit/Computing
Control systems & computers,Kyiv,http://nbuv.gov.ua/j-tit/USM
Economic annals-XXI,Київ,http://nbuv.gov.ua/j-tit/ecchado
International journal of philology,Київ,http://nbuv.gov.ua/j-tit/intjouph
Безпека інформації,Київ,http://nbuv.gov.ua/j-tit/bezin
Proceedings of the National aviation university,Kyiv,http://nbuv.gov.ua/j-tit/Vnau
Morphologia,Дніпро,http://nbuv.gov.ua/j-tit/Morphology
Mathematical modeling and computing,Lviv,http://nbuv.gov.ua/j-tit/mmc
Journal of physics and electronics,Dnipro,http://nbuv.gov.ua/j-tit/jphel
GISAP," Earth and space sciences, London",http://nbuv.gov.ua/j-tit/gess
Biomedical and biosocial anthropology,Vinnytsia,http://nbuv.gov.ua/j-tit/bba
Biopolymers and cell,Kyiv,http://nbuv.gov.ua/j-tit/BPK
Автоматизация судовых технических средств,Одесса,http://nbuv.gov.ua/j-tit/asts
Юридична наука,Київ,http://nbuv.gov.ua/j-tit/jnn
Ядерні та радіаційні технології,Київ,http://nbuv.gov.ua/j-tit/yadt
Якість технологій та освіти,"Харків",http://nbuv.gov.ua/j-tit/yakict
Экология и промышленность,Харьков,http://nbuv.gov.ua/j-tit/ekolprom
Current issues of mass communication,Київ,http://nbuv.gov.ua/j-tit/apmk
Cybernetics and computer engineering,Киев,http://nbuv.gov.ua/j-tit/Kivt
Харківська хірургічна школа,Харків,http://nbuv.gov.ua/j-tit/Khkhsh
Шевченків світ,Черкаси,http://nbuv.gov.ua/j-tit/Shesv
Шевченкознавчі студії,Київ,http://nbuv.gov.ua/j-tit/Shs
Центральноукраїнський науковий вісник ," Економічні науки, Кропивницький",http://nbuv.gov.ua/j-tit/Npkntu_e
Центральноукраїнський науковий вісник," Технічні науки, Кропивницький",http://nbuv.gov.ua/j-tit/znpkntu
Education and pedagogical sciences,Старобільськ,http://nbuv.gov.ua/j-tit/OsDon
International journal of science annals,Kharkiv,http://nbuv.gov.ua/j-tit/intjscann
Information and telecommunication sciences,Kyiv,http://nbuv.gov.ua/j-tit/Telnau
Безпека інформаційних систем і технологій,Київ,http://nbuv.gov.ua/j-tit/infsts
"Professional education: methodology, theory and technologies",Pereiaslav-Khmelnytskyi,http://nbuv.gov.ua/j-tit/profe
Mechanics and Advanced Technologies,Kyiv,http://nbuv.gov.ua/j-tit/madt
Metallurgical and mining industry,Dnipropetrovsk,http://nbuv.gov.ua/j-tit/metmi
Journal of thermoelectricity,Chernivtsi,http://nbuv.gov.ua/j-tit/jtherel
Journal of european economy,Ternopil,http://nbuv.gov.ua/j-tit/jeea
GISAP," Economics, jurisprudence and management, London",http://nbuv.gov.ua/j-tit/gejm
GISAP," Educational sciences, London",http://nbuv.gov.ua/j-tit/ges
Biotechnologia Acta,Київ,http://nbuv.gov.ua/j-tit/biot
BITP,Józefów (powiat otwocki),http://nbuv.gov.ua/j-tit/bitp
Business ethics and leadership,"Sumy",http://nbuv.gov.ua/j-tit/busetlen
Автоматизация технологических и бизнес-процессов,Одеса,http://nbuv.gov.ua/j-tit/avtib
Юридична наука і практика,Київ,http://nbuv.gov.ua/j-tit/njj
Экология моря,,http://nbuv.gov.ua/j-tit/EkMo
Экономика и управление,,http://nbuv.gov.ua/j-tit/ekiyp
Chemistry & Chemical Technology,Lviv,http://nbuv.gov.ua/j-tit/Chemistry
Харківський історіографічний збірник,Харків,http://nbuv.gov.ua/j-tit/khiz
Школа першого ступеня: теорія і практика,Тернопіль,http://nbuv.gov.ua/j-tit/Shps
Шляхи підвищення ефективності будівництва в умовах формування ринкових відносин,Київ,http://nbuv.gov.ua/j-tit/shpebfrv
Цивілістична процесуальна думка,Київ,http://nbuv.gov.ua/j-tit/tsprv
Electrical power and electromechanical systems,Львів,http://nbuv.gov.ua/j-tit/elpoels
Innovative biosystems & bioengineering,Kyiv,http://nbuv.gov.ua/j-tit/ibb
Intellectualization of logistics and supply chain management,Kyiv,http://nbuv.gov.ua/j-tit/ilschm
"Библиотеки национальных академий наук: проблемы функционирования, тенденции развития",Киев,http://nbuv.gov.ua/j-tit/bnan
Progress in physics of metals,Kyiv,http://nbuv.gov.ua/j-tit/UPhM
Methods of functional analysis and topology,Kyiv,http://nbuv.gov.ua/j-tit/MFAT
"Journal of geology, geography and geoecology",Dnipro,http://nbuv.gov.ua/j-tit/jggg
Journal of governance & regulation,Sumy,http://nbuv.gov.ua/j-tit/jgr
GISAP," History and philosophy, London",http://nbuv.gov.ua/j-tit/Hp
GISAP," Medical science, pharmacology, London",http://nbuv.gov.ua/j-tit/msph
Таврический вестник информатики и математики,Симф.,http://nbuv.gov.ua/j-tit/Tvim
Фактори експериментальної еволюції організмів,Київ,http://nbuv.gov.ua/j-tit/feeo
Радиоэлектроника и информатика,Харків,http://nbuv.gov.ua/j-tit/reii
Уголь Украины,Киев,http://nbuv.gov.ua/j-tit/ugukr
Обладнання та технології харчових виробництв,Кривий Ріг,http://nbuv.gov.ua/j-tit/Otkhv
Автоматизація виробничих процесів у машинобудуванні та приладобудуванні,Львів,http://nbuv.gov.ua/j-tit/Avtomatyzac
"Юридична наука, практика і освіта",Луганськ,http://nbuv.gov.ua/j-tit/Yurnpo
Юридична психологія,Київ,http://nbuv.gov.ua/j-tit/urpp
Экономика Крыма,,http://nbuv.gov.ua/j-tit/econkr
Chemistry of metals and alloys,Lviv,http://nbuv.gov.ua/j-tit/Khms
Computational problems of electrical engineering,Lviv,http://nbuv.gov.ua/j-tit/CPoee
Харківський медичний журнал,Харків,http://nbuv.gov.ua/j-tit/Khmj
Харчова наука і технологія,Одеса,http://nbuv.gov.ua/j-tit/Khnit
Шпитальна хірургія. Журнал імені Л. Я. Ковальчука ,"Тернопіль",http://nbuv.gov.ua/j-tit/shpkhir
Цитологія і генетика,Київ,http://nbuv.gov.ua/j-tit/CLG
Electronics and control systems,Kyiv,http://nbuv.gov.ua/j-tit/etsu
Inter collegas,Харків,http://nbuv.gov.ua/j-tit/ic
Бионика интеллекта,Харьков,http://nbuv.gov.ua/j-tit/bioi
Psycholinguistics,Переяслав-Хмельницький,http://nbuv.gov.ua/j-tit/psling
Modern higher education review,"Kyiv",http://nbuv.gov.ua/j-tit/mhedr
Journal of hydrocarbon power engineering,Ivano-Frankivsk,http://nbuv.gov.ua/j-tit/jhpe
Journal of Nano- and Electronic Physics,Sumy,http://nbuv.gov.ua/j-tit/jnep
GISAP," Philological sciences, London",http://nbuv.gov.ua/j-tit/phs
GISAP," Psychological sciences, London",http://nbuv.gov.ua/j-tit/psych
Таврический журнал психиатрии,Симф.,http://nbuv.gov.ua/j-tit/Tzhp
Фармакологія та лікарська токсикологія,Київ,http://nbuv.gov.ua/j-tit/flt
"Радіоелектроніка, інформатика, управління",Запоріжжя,http://nbuv.gov.ua/j-tit/riu
"Україна XX століття: культура, ідеологія, політика",Київ,http://nbuv.gov.ua/j-tit/Uxxs
Облік і фінанси,Київ,http://nbuv.gov.ua/j-tit/Oif_apk
Садівництво,Київ,http://nbuv.gov.ua/j-tit/sadiv
Палеонтологічний збірник,Львів,http://nbuv.gov.ua/j-tit/paleozb
Автоматизовані системи управління та прилади автоматики,Харків,http://nbuv.gov.ua/j-tit/asy
Юридична Україна,Київ,http://nbuv.gov.ua/j-tit/urykr
Юридичний бюлетень,Одеса,http://nbuv.gov.ua/j-tit/ub
Экономика Украины,,http://nbuv.gov.ua/j-tit/ekukrr
Экономикс,,http://nbuv.gov.ua/j-tit/ekon
"Экосистемы, их оптимизация и охрана",,http://nbuv.gov.ua/j-tit/ecooo
Condensed matter physics,"Lviv",http://nbuv.gov.ua/j-tit/CMPh
Харчова промисловість,Київ,http://nbuv.gov.ua/j-tit/Khp
Химия и технология воды,Киев,http://nbuv.gov.ua/j-tit/KhTV
Цифрова платформа: інформаційні технології в соціокультурній сфері,Київ,http://nbuv.gov.ua/j-tit/dpitsca
Цифрові технології,Одеса,http://nbuv.gov.ua/j-tit/ct
Цукор України,Київ,http://nbuv.gov.ua/j-tit/Cu
Energy engineering and control systems,Lviv,http://nbuv.gov.ua/j-tit/eecs
International Economic Policy,Kiev,http://nbuv.gov.ua/j-tit/itrep
Investment management and financial innovations,"Sumy",http://nbuv.gov.ua/j-tit/imfi
Бібліотекознавство. Документознавство. Інформологія,Київ,http://nbuv.gov.ua/j-tit/bdi
Psychosomatic medicine and general practice,Київ,http://nbuv.gov.ua/j-tit/psmgp
"Journal of optimizaton, differential equations and their applications",Dnipro,http://nbuv.gov.ua/j-tit/jodeta
Journal of Vasyl Stefanyk Precarpathian National University,"Ivano-Frankivsk",http://nbuv.gov.ua/j-tit/jovspnu
GISAP," Sociological, political and military sciences, London",http://nbuv.gov.ua/j-tit/spms
GISAP," Technical sciences, construction and architecture, London",http://nbuv.gov.ua/j-tit/tsca
"""Магарач"". Виноградарство и виноделие"," Економічні студії, Київ",http://nbuv.gov.ua/j-tit/Magarach
Лабораторна діагностика,Київ,http://nbuv.gov.ua/j-tit/labdiag
