name,price,link
"MSI GeForce RTX 3080 GAMING X TRIO 10G
",79 999,hotline.ua/computer-videokarty/msi-geforce-rtx-3080-gaming-x-trio-10g/
"GIGABYTE GeForce RTX 3070 GAMING OC 8G (GV-N3070GAMING OC-8GD)
",45 394,hotline.ua/computer-videokarty/gigabyte-geforce-rtx-3070-gaming-oc-8g-gv-n3070gaming-oc-8gd/
"Palit GeForce GTX 1660 Super GamingPro OC (NE6166SS18J9-1160A)
",19 234,hotline.ua/computer-videokarty/palit-geforce-gtx-1660-super-gamingpro-oc-ne6166ss18j9-1160a/
"GIGABYTE GeForce GTX 1660 Super 6GB OC (GV-N166SOC-6GD)
",23 519,hotline.ua/computer-videokarty/gigabyte-geforce-gtx-1660-super-6gb-oc-gv-n166soc-6gd/
"MSI GeForce RTX 3070 GAMING X TRIO
",46 921,hotline.ua/computer-videokarty/msi-geforce-rtx-3070-gaming-x-trio/
"MSI GeForce GTX 1660 SUPER VENTUS XS OC
",18 523,hotline.ua/computer-videokarty/msi-geforce-gtx-1660-super-ventus-xs-oc/
"GIGABYTE Radeon RX 580 Gaming 8G (GV-RX580GAMING-8GD)
",13 999,hotline.ua/computer-videokarty/gigabyte-radeon-rx-580-gaming-8g-gv-rx580gaming-8gd/
"GIGABYTE GeForce GTX 1660 Ti OC 6G (GV-N166TOC-6GD)
",19 300,hotline.ua/computer-videokarty/gigabyte-geforce-gtx-1660-ti-oc-6g-gv-n166toc-6gd/
"MSI GeForce RTX 3070 VENTUS 2X OC
",45 457,hotline.ua/computer-videokarty/msi-geforce-rtx-3070-ventus-2x-oc/
"ASUS ROG-STRIX-RX570-O4G-GAMING
",15 015,hotline.ua/computer-videokarty/asus-rog-strix-rx570-o4g-gaming/
"MSI GeForce RTX 3070 VENTUS 3X OC
",44 994,hotline.ua/computer-videokarty/msi-geforce-rtx-3070-ventus-3x-oc/
"GIGABYTE GeForce RTX 2060 OC 6G (GV-N2060OC-6GD)
",25 793,hotline.ua/computer-videokarty/gigabyte-geforce-rtx-2060-oc-6g-gv-n2060oc-6gd/
"MSI Radeon RX 580 ARMOR 8G OC
",19 325,hotline.ua/computer-videokarty/msi-radeon-rx-580-armor-8g-oc/
"MSI GeForce GTX 1660 VENTUS XS 6G OC
",16 120,hotline.ua/computer-videokarty/msi-geforce-gtx-1660-ventus-xs-6g-oc/
"MSI Radeon RX 550 2GT LP OC
",2 799,hotline.ua/computer-videokarty/msi-radeon-rx-550-2gt-lp-oc/
"GIGABYTE Radeon RX 580 Gaming 4G (GV-RX580GAMING-4GD)
",7 999,hotline.ua/computer-videokarty/gigabyte-radeon-rx-580-gaming-4g-gv-rx580gaming-4gd/
"GIGABYTE GeForce RTX 3070 VISION OC 8G (GV-N3070VISION OC-8GD)
",43 467,hotline.ua/computer-videokarty/gigabyte-geforce-rtx-3070-vision-oc-8g-gv-n3070vision-oc-8gd/
"ASUS TUF-RTX3080-O10G-GAMING
",78 999,hotline.ua/computer-videokarty/asus-tuf-rtx3080-o10g-gaming/
"ASUS TUF-RTX3070-O8G-GAMING
",45 749,hotline.ua/computer-videokarty/asus-tuf-rtx3070-o8g-gaming/
"MSI GeForce RTX 3090 SUPRIM X 24G
",99 225,hotline.ua/computer-videokarty/msi-geforce-rtx-3090-suprim-x-24g/
"GIGABYTE AORUS GeForce RTX 3070 MASTER 8G (GV-N3070AORUS M-8GD)
",44 749,hotline.ua/computer-videokarty/gigabyte-aorus-geforce-rtx-3070-master-8g-gv-n3070aorus-m-8gd/
"Palit GeForce GTX 1660 Super 6GB StormX OC (NE6166SS18J9-161F)
",17 911,hotline.ua/computer-videokarty/palit-geforce-gtx-1660-super-6gb-stormx-oc-ne6166ss18j9-161f/
"ASUS TUF 3-RX5600XT-T6G-EVO-GAMING
",38 539,hotline.ua/computer-videokarty/asus-tuf-3-rx5600xt-t6g-evo-gaming/
"MSI GeForce GTX 1050 TI GAMING X 4G
",7 129,hotline.ua/computer-videokarty/msi-geforce-gtx-1050-ti-gaming-x-4g/
"Gainward GeForce GTX 1660 SUPER Ghost OC (471056224-1396)
",18 621,hotline.ua/computer-videokarty/gainward-geforce-gtx-1660-super-ghost-oc-471056224-1396/
"PowerColor Radeon RX 5700 XT (AXRX 5700 XT 8GBD6-3DH)
",38 944,hotline.ua/computer-videokarty/powercolor-radeon-rx-5700-xt-axrx-5700-xt-8gbd6-3dh/
"ASUS TUF-GTX1650-O4GD6-P-GAMING
",9 014,hotline.ua/computer-videokarty/asus-tuf-gtx1650-o4gd6-p-gaming/
"Palit GeForce RTX 3080 GameRock (NED3080U19IA-1020G)
",75 952,hotline.ua/computer-videokarty/palit-geforce-rtx-3080-gamerock-ned3080u19ia-1020g/
"ASUS DUAL-GTX1660-O6G-EVO
",16 657,hotline.ua/computer-videokarty/asus-dual-gtx1660-o6g-evo/
"MSI GeForce GTX 1660 Ti VENTUS XS 6G OC
",16 580,hotline.ua/computer-videokarty/msi-geforce-gtx-1660-ti-ventus-xs-6g-oc/
"PowerColor AMD Radeon RX 6900 XT Red Devil (AXRX 6900XT 16GBD6-3DHE/OC)
",53 142,hotline.ua/computer-videokarty/powercolor-amd-radeon-rx-6900-xt-red-devil-axrx-6900xt-16gbd6-3dheoc/
"MSI Radeon RX 6800 XT GAMING X TRIO 16G
",44 999,hotline.ua/computer-videokarty/msi-radeon-rx-6800-xt-gaming-x-trio-16g/
"GIGABYTE GeForce GTX 1060 WINDFORCE OC 3G (GV-N1060WF2OC-3GD)
",5 599,hotline.ua/computer-videokarty/gigabyte-geforce-gtx-1060-windforce-oc-3g-gv-n1060wf2oc-3gd/
"Palit GeForce RTX 3070 GamingPro OC (NE63070S19P2-1041A)
",44 499,hotline.ua/computer-videokarty/palit-geforce-rtx-3070-gamingpro-oc-ne63070s19p2-1041a/
"ASUS PH-GTX1650-O4GD6-P
",9 280,hotline.ua/computer-videokarty/asus-ph-gtx1650-o4gd6-p/
"ASUS PH-GTX1050TI-4G
",7 098,hotline.ua/computer-videokarty/asus-ph-gtx1050ti-4g/
"Palit GeForce RTX 3070 GameRock OC (NE63070H19P2-1040G)
",47 030,hotline.ua/computer-videokarty/palit-geforce-rtx-3070-gamerock-oc-ne63070h19p2-1040g/
"Palit GeForce GTX 1660 Super 6GB GamingPro (NE6166S018J9-1160A)
",19 117,hotline.ua/computer-videokarty/palit-geforce-gtx-1660-super-6gb-gamingpro-ne6166s018j9-1160a/
"ASUS TUF-GTX1650S-O4G-GAMING
",13 306,hotline.ua/computer-videokarty/asus-tuf-gtx1650s-o4g-gaming/
"MSI GeForce RTX 2080 SUPER GAMING X TRIO
",32 999,hotline.ua/computer-videokarty/msi-geforce-rtx-2080-super-gaming-x-trio/
"ASUS ROG-STRIX-RTX3080-O10G-GAMING
",81 199,hotline.ua/computer-videokarty/asus-rog-strix-rtx3080-o10g-gaming/
"Palit GeForce RTX 3090 GamingPro (NED3090019SB-132BA)
",87 999,hotline.ua/computer-videokarty/palit-geforce-rtx-3090-gamingpro-ned3090019sb-132ba/
"XFX Radeon RX 580 GTS XXX Edition (RX-580P8DFD6)
",19 399,hotline.ua/computer-videokarty/xfx-radeon-rx-580-gts-xxx-edition-rx-580p8dfd6/
"Sapphire Radeon RX 6900 XT OC 16 GB NITRO+ (11308-01-20G)
",59 164,hotline.ua/computer-videokarty/sapphire-radeon-rx-6900-xt-oc-16-gb-nitroplus-11308-01-20g/
"Palit GeForce RTX 3070 JetStream (NE63070019P2-1040J)
",42 799,hotline.ua/computer-videokarty/palit-geforce-rtx-3070-jetstream-ne63070019p2-1040j/
"ASUS PH-550-2G
",2 797,hotline.ua/computer-videokarty/asus-rx-550-phoenix-2-gb-ph-550-2g/
"ASUS PH-GT1030-O2G
",2 904,hotline.ua/computer-videokarty/asus-ph-gt1030-o2g/
"MSI Radeon RX 570 GAMING X 4G
",5 380,hotline.ua/computer-videokarty/msi-radeon-rx-570-gaming-x-4g/
"GIGABYTE Radeon RX 570 4G AORUS (GV-RX570AORUS-4GD)
",11 211,hotline.ua/computer-videokarty/gigabyte-radeon-rx-570-4g-aorus-gv-rx570aorus-4gd/
"Zotac GAMING GeForce RTX 3070 AMP Holo (ZT-A30700F-10P)
",45 777,hotline.ua/computer-videokarty/gaming-geforce-rtx-3070-amp-holo-zt-a30700f-10p/
"GIGABYTE GeForce GTX 1650 D6 WINDFORCE OC 4G (GV-N1656WF2OC-4GD)
",10 129,hotline.ua/computer-videokarty/gigabyte-geforce-gtx-1650-d6-windforce-oc-4g-gv-n1656wf2oc-4gd/
"ASUS CERBERUS-GTX1050TI-O4G
",7 266,hotline.ua/computer-videokarty/asus-cerberus-gtx1050ti-o4g/
"GIGABYTE GeForce GTX 1050 Ti OC 4G (GV-N105TOC-4GD)
",7 740,hotline.ua/computer-videokarty/gigabyte-geforce-gtx-1050-ti-oc-4g-gv-n105toc-4gd/
"AFOX GeForce GT 730 4 GB (AF730-4096D3L6)
",2 168,hotline.ua/computer-videokarty/afox-geforce-gt-730-4-gb-af730-4096d3l6/
"PowerColor Radeon RX 5500 XT OC 8GB (AXRX 5500 XT 8GBD6-DH/OC)
",14 499,hotline.ua/computer-videokarty/powercolor-radeon-rx-5500-xt-oc-8gb-axrx-5500-xt-8gbd6-dhoc/
